location,parameter,unit,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
Ft. Worth Northwest,o3,ppm,US,Dallas-Fort Worth-Arlington,00:00.0,32.805818,-97.356567,0.002714286
Fulton,o3,ppm,US,Buffalo-Niagara Falls,00:00.0,43.284279,-76.46318,0.034384615
Furley,o3,ppm,US,Baltimore-Towson,00:00.0,39.333099,-76.550003,0.0245
G.T.Craig,o3,ppm,US,Cleveland-Elyria-Mentor,00:00.0,41.492191,-81.678552,0.034
GANDY,o3,ppm,US,Tampa-St. Petersburg-Clearwater,00:00.0,27.8928,-82.5383,0.032071429
GARINGER,o3,ppm,US,Charlotte-Gastonia-Concord,00:00.0,35.2411,-80.7831,0.032461538
GRAND RAPIDS,o3,ppm,US,Grand Rapids-Wyoming,00:00.0,42.984699,-85.671097,0.027642857
Galveston Airport C1,o3,ppm,US,Houston-Sugar Land-Baytown,00:00.0,29.2631,-94.8564,0.024
Gary-IITRI,o3,ppm,US,Chicago-Naperville-Joliet,00:00.0,41.6067,-87.3047,0.012928571
Georgia Station,o3,ppm,US,Atlanta-Sandy Springs-Marietta,00:00.0,33.1787,-84.4052,0.016916667
Gilory - 9th Street,o3,ppm,US,San Jose-Sunnyvale-Santa Clara,00:00.0,36.999571,-121.574684,0.017454545
Glacier NP,o3,ppm,US,Kalispell,00:00.0,48.5103,-113.9956,0.012642857
Glendale Community C,o3,ppm,US,Phoenix-Mesa-Scottsdale,00:00.0,33.5694,-112.1915,0.0114
Glendora - Laurel,o3,ppm,US,Los Angeles-Long Beach-Santa Ana,00:00.0,34.1439,-117.8508,0.0178
Glenpool,o3,ppm,US,Tulsa,00:00.0,35.9525,-96.0033,0.01
Golden - NREL - 2054,o3,ppm,US,Denver-Aurora,00:00.0,39.7419,-105.1786,0.037071429
Goleta,o3,ppm,US,Santa Barbara-Santa Maria,00:00.0,34.445301,-119.827797,0.008785714
Gothic,o3,ppm,US,GUNNISON,00:00.0,38.9564,-106.9858,0.0375
Granbury C73,o3,ppm,US,Granbury,00:00.0,32.4419,-97.8033,0.006
Grand Canyon NP,o3,ppm,US,Flagstaff,00:00.0,36.055,-112.1531,0.044923077
Grand Teton NP - Sci,o3,ppm,US,TETON,00:00.0,43.67083,-110.599403,0.037285714
Granger-Beckley St.,o3,ppm,US,South Bend-Mishawaka,00:00.0,41.75487,-86.11009,0.017214286
Grapevine Fairway C7,o3,ppm,US,Dallas-Fort Worth-Arlington,00:00.0,32.98426,-97.063705,0.004076923
Grass Valley,o3,ppm,US,Truckee-Grass Valley,00:00.0,39.234402,-121.055603,0.039
Great Basin NP,o3,ppm,US,WHITE PINE,00:00.0,39.0053,-114.2158,0.040285714
Greeley - Weld Co. T,o3,ppm,US,Greeley,00:00.0,40.3861,-104.7367,0.001
Green Valley,o3,ppm,US,Tucson,00:00.0,31.8794,-110.9964,0.018
GreenValley,o3,ppm,US,Las Vegas-Paradise,00:00.0,36.048705,-115.052942,0.010714286
Greenfield,o3,ppm,US,FRANKLIN,00:00.0,42.605816,-72.596689,0.0345
Greenville C1006/198,o3,ppm,US,Dallas-Fort Worth-Arlington,00:00.0,33.153077,-96.115561,0.006571429
HU-Beltsville,o3,ppm,US,Washington-Arlington-Alexandria,00:00.0,39.055302,-76.878304,0.02325
